"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(0.0, 0.0)",6184,151000,0,414.78,2013,1965,2005.46
"(-71.5, 35.66667)",4761,25322,0.01,94.56,2000,1969,1979.72
"(-84.0, 168.0)",3040,22000,0.1,62.37,2002,1993,1996.61
"(-72.0, 26.0)",1505,46000,0.9,249.33,1990,1987,1987.86
"(-79.68333, 159.75)",657,19000,0.013,120.88,2001,1996,2000.26
"(-76.71667, 159.66667)",637,407000,0.27,959.57,1999,1976,1978.91
"(-76.18333, 157.16667)",539,11894,0.2,151.47,1999,1982,1994.08
"(-79.68333, 155.75)",473,20657,0.22,197.98,2001,1978,1998.70
"(-84.21667, 160.5)",263,6988.4,0.11,211.07,2002,1987,1995.21
"(-86.36667, -70.0)",226,2920.4,0.2,171.07,2003,1991,2001.92
"(0.0, 35.66667)",223,301.2,0.13,16.91,1974,1974,1974.00
"(-86.71667, -141.5)",217,29000,0.8,476.82,1998,1995,1997.54
"(-85.66667, 175.0)",185,10000,2.42,485.83,1995,1985,1993.97
"(-24.85, -70.53333)",178,6038,1.8,221.94,2011,2010,2010.75
"(-85.63333, -68.7)",105,8308,1.21,240.13,2002,1982,1998.57
"(-72.95488, 160.47328)",74,942,0.32,20.47,1991,1984,1987.07
"(58.58333, 13.43333)",63,0,0,0.00,2012,1987,2000.11
"(-76.71667, 159.33333)",42,13.22,5.16,8.99,1988,1988,1988.00
"(-72.77889, 75.31361)",39,363,8.6,38.23,2006,2003,2003.08
"(-72.98389, 75.24639)",38,18.6,0.44,1.61,2003,2003,2003.00
"(-83.25, 157.0)",34,4037.3,6,523.57,2003,1985,1998.94
"(-25.23333, -69.71667)",32,4993,5.2,697.12,2012,2009,2010.00
"(-82.5, 155.5)",32,2409,0.3,185.53,1999,1985,1998.13
"(-72.99889, 75.18722)",32,3.95,0.17,1.26,2006,2006,2006.00
"(29.91667, -5.58333)",31,7000,5,472.25,2000,1999,1999.06
"(-84.26667, 161.5)",30,660.7,2.1,128.72,1999,1997,1997.13
"(-84.28333, 161.08333)",29,7986.5,3.3,577.78,1988,1985,1986.72
"(-73.08333, 75.2)",28,428.9,0.23,21.76,2000,2000,2000.00
"(-72.983889, 75.246389)",27,9.73,0.59,1.88,2003,2003,2003.00
"(34.08333, -103.5)",27,882,2.1,55.90,1994,1968,1979.26
"(-80.06667, 156.38333)",27,138100,76,15706.06,2000,1978,1982.96
"(-24.68333, -69.76667)",24,30750,85,5675.13,2012,2009,2010.63
"(27.16667, -9.5)",21,70000,43.3,3950.06,1999,1998,1998.95
"(-72.77861, 75.31528)",19,589.5,0.56,80.58,2003,2003,2003.00
"(-24.25, -70.51667)",18,338,1.1,85.23,2010,2010,2010.00
"(-71.54694, 35.40194)",17,263.13,0.75,32.45,1998,1994,1994.24
"(-80.25, 153.5)",17,4301,10.7,420.15,2000,1978,1994.82
"(-72.77472, 75.34)",17,26.96,0.5,3.79,2006,2006,2006.00
"(-86.56667, -165.11667)",17,2431.8,14.6,219.42,1995,1995,1995.00
"(-72.9839, 75.2464)",16,2.08,0.44,0.80,2003,2003,2003.00
"(-72.77886, 75.31447)",16,453.7,52.18,157.82,2010,2010,2010.00
"(-72.77833, 75.32083)",16,125.96,3.16,31.07,2003,2003,2003.00
"(34.1, -103.48333)",14,173.1,2.1,44.19,1989,1970,1983.29
"(34.5, -116.95)",14,37.4,1.2,10.32,1999,1963,1968.71
"(-72.77917, 75.31056)",13,365.6,0.44,61.94,2003,2003,2003.00
"(-72.82528, 75.35361)",13,7.79,0.51,3.09,2006,2006,2006.00
"(-72.983056, 75.229167)",13,92.3,0.68,16.38,2003,2003,2003.00
"(-72.78167, 75.30278)",12,1012,23.94,136.24,2003,2003,2003.00
"(-85.33333, 166.5)",11,719.7,14,157.31,1985,1985,1985.00
"(-72.778611, 75.315278)",11,9.62,1.07,5.22,2006,2003,2003.27
"(-76.26667, 159.25)",11,8483,9.7,1260.93,1980,1978,1978.64
"(-30.09167, 126.88883)",11,5.2,0.32,1.53,1994,1994,1994.00
"(-72.825278, 75.353611)",11,5.27,0.75,2.07,2006,2006,2006.00
"(-72.98306, 75.22917)",10,72.9,0.48,12.05,2003,2003,2003.00
"(-81.33333, 152.83333)",10,10172,141.9,3242.36,1994,1994,1994.00
"(-72.91611, 75.10028)",10,222,1.53,56.16,2006,2006,2006.00
"(-72.774722, 75.34)",10,3.01,0.75,1.43,2006,2006,2006.00
"(-72.9925, 75.20639)",10,78.3,0.8,21.37,2003,2003,2003.00
"(-72.98389, 75.24556)",10,1.82,0.5,0.67,2006,2006,2006.00
"(-75.31667, 162.0)",9,108.7,0.9,23.93,1992,1992,1992.00
"(-72.778889, 75.313611)",9,12.08,0.76,3.44,2006,2003,2005.33
"(-86.45, -165.43333)",9,2733,11.2,397.86,1995,1995,1995.00
"(30.33333, -5.83333)",9,4500,65,1032.78,1999,1999,1999.00
"(-72.78167, 75.30389)",9,610.1,6.33,117.20,2003,2003,2003.00
"(-72.77889, 75.31111)",8,6.35,1.08,3.42,2003,2003,2003.00
"(29.58333, 11.78333)",8,570,94,312.50,1986,1986,1986.00
"(-72.77306, 75.33917)",8,720.9,27.11,226.95,2003,2003,2003.00
"(-72.98972, 160.40778)",8,15.23,0.68,5.40,1995,1993,1993.25
"(-72.998889, 75.187222)",8,5.19,1.2,2.10,2006,2006,2006.00
"(-72.78083, 75.30222)",8,30.08,13.9,19.71,2003,2003,2003.00
"(-72.98361, 75.24583)",8,0.65,0.45,0.55,2003,2003,2003.00
"(-72.98889, 160.40528)",8,18.2,0.8,7.01,2001,1993,2000.00
"(31.33333, -4.33333)",8,86,4,41.25,1999,1999,1999.00
"(-72.778889, 75.311111)",8,3.45,1.54,2.37,2003,2003,2003.00
"(-71.83333, 35.5)",7,650,1.61,112.26,1986,1973,1980.29
"(-72.77833, 75.31806)",7,312,3.84,84.09,2006,2006,2006.00
"(-72.98389, 75.25139)",7,1.2,0.88,1.05,2003,2003,2003.00
"(-72.77306, 75.33806)",7,7.76,0.51,3.29,2006,2006,2006.00
"(26.784, -12.8335)",7,413.5,15,209.57,2001,2001,2001.00
"(-72.89144, 74.9485)",7,28.25,13.87,19.66,2010,2010,2010.00
"(-25.0, -70.46667)",7,8250,120,2221.57,2011,2011,2011.00
"(-72.78139, 75.30556)",7,42.08,4.33,17.27,2003,2003,2003.00
"(40.26667, -118.93333)",7,287.44,10.47,87.33,1999,1999,1999.00
"(-72.7825, 75.30028)",6,245.5,3.27,104.42,2006,2003,2004.50
"(-72.779167, 75.315556)",6,53.58,2.62,19.48,2006,2006,2006.00
"(-72.773056, 75.339167)",6,1.45,0.83,1.13,2006,2006,2006.00
"(-72.99889, 75.1872)",6,1.81,0.25,0.65,2006,2006,2006.00
"(-72.9925, 75.206389)",6,2.65,0.52,1.08,2003,2003,2003.00
"(-72.983611, 75.245833)",6,2.18,0.55,1.04,2003,2003,2003.00
"(-30.36667, 130.08333)",6,48,8,22.33,1991,1991,1991.00
"(-72.78278, 75.29889)",6,6.66,1.31,3.03,2006,2006,2006.00
"(31.1, -5.18333)",6,3540,102,1043.50,2000,2000,2000.00
"(-72.78444, 75.28028)",6,2.96,1.27,2.08,2006,2006,2006.00
"(-72.98489, 75.24867)",6,369.1,40.7,221.99,2010,2010,2010.00
"(-72.9825, 75.25)",6,1.73,0.65,1.12,2003,2003,2003.00
"(-72.77389, 75.32694)",6,14.7,1.1,6.17,2003,2003,2003.00
"(-72.98444, 75.25)",6,53.35,0.81,10.41,2003,2003,2003.00
"(21.05183, 57.26967)",6,455,98,306.67,2000,2000,2000.00
"(-71.7625, 35.9)",6,24,1.55,7.28,1974,1974,1974.00
"(-72.95404, 160.50371)",5,23.32,3.04,13.79,1990,1990,1990.00
"(-30.75, 128.08333)",5,166,10,72.66,1991,1991,1991.00
"(32.71667, -102.65)",5,1710,478,955.86,1999,1976,1980.80
"(-72.78778, 75.27028)",5,2.55,1.44,1.95,2006,2006,2006.00
"(-76.69458, 159.28725)",5,17.5,4.68,10.46,1988,1988,1988.00
"(30.33333, -5.75)",5,454,150,333.40,1999,1998,1998.20
"(-23.2, -70.43333)",5,25000,380,11636.00,1987,1986,1986.20
"(-72.779167, 75.310556)",5,20.23,0.64,6.69,2006,2003,2005.40
"(-72.77972, 75.29278)",5,38.14,11.07,26.24,2003,2003,2003.00
"(-72.95578, 160.43857)",5,17.5,1.19,7.73,1990,1990,1990.00
