"year","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
2003,3323,160000,0,463.03,2003,2003,2003.0
1979,3046,44500,0,150.33,1979,1979,1979.0
1998,2697,1100000,0.3,790.42,1998,1998,1998.0
2006,2456,3000000,0,2084.94,2006,2006,2006.0
1988,2296,65000,0.5,213.76,1988,1988,1988.0
2002,2078,550000,0,1184.86,2002,2002,2002.0
2004,1940,3000000,0,2077.74,2004,2004,2004.0
2000,1792,2000000,0.013,3187.08,2000,2000,2000.0
1997,1696,290000,0.1,677.85,1997,1997,1997.0
1999,1691,95000,0.1,565.04,1999,1999,1999.0
2001,1650,410850,0.1,1062.87,2001,2001,2001.0
1990,1518,325000,0.2,577.26,1990,1990,1990.0
2009,1497,1600000,0,1522.19,2009,2009,2009.0
1986,1375,260000,0.17,532.03,1986,1986,1986.0
2007,1189,100000,0.2,607.19,2007,2007,2007.0
2010,1005,100000,0,633.56,2010,2010,2010.0
1993,979,36900,0.18,171.59,1993,1993,1993.0
2008,957,499500,0,1512.93,2008,2008,2008.0
1987,916,50000,0.1,518.61,1987,1987,1987.0
1991,877,350000,0.1,1035.29,1991,1991,1991.0
2005,875,300000,0,2148.81,2005,2005,2005.0
1994,719,360000,0.32,1055.37,1994,1994,1994.0
2011,713,115777,0,1070.85,2011,2011,2011.0
1974,691,47000,0.13,314.93,1974,1974,1974.0
1996,583,140000,0.2,700.83,1996,1996,1996.0
1995,487,280000,0.4,2295.59,1995,1995,1995.0
1981,463,1000000,0.4,4738.4,1981,1981,1981.0
1977,421,75500,0.27,1308.01,1977,1977,1977.0
1984,402,168400,0.02,2022.63,1984,1984,1984.0
1985,378,110224,0.3,713.37,1985,1985,1985.0
1992,372,2000000,0.2,7805.78,1992,1992,1992.0
1983,360,2000000,0.01,7058.65,1983,1983,1983.0
1982,344,75000,0.14,631.51,1982,1982,1982.0
1975,337,69000,0.07,1011.68,1975,1975,1975.0
1978,262,138300,0.5,3010.65,1978,1978,1978.0
2012,234,18000,0,992.38,2012,2012,2012.0
1980,152,100000,1.1,1675.46,1980,1980,1980.0
1989,136,105000,2.3,3495.51,1989,1989,1989.0
1969,70,2000000,9.8,38012.4,1969,1969,1969.0
1968,54,1225300,1.2,46250.46,1968,1968,1968.0
1937,54,997000,221,53533.74,1937,1937,1937.0
1976,52,4000000,16.6,148351.71,1976,1976,1976.0
1965,50,450000,1,21779.45,1965,1965,1965.0
1971,49,279000,7.9,14405.15,1971,1971,1971.0
1970,48,110700,6.8,8230.56,1970,1970,1970.0
1938,45,1169500,6.1,39882.06,1938,1938,1938.0
1950,40,141000,1.8,9755.59,1950,1950,1950.0
1940,37,800000,46,34505.96,1940,1940,1940.0
1967,37,630000,0.1,45337.85,1967,1967,1967.0
1962,36,100000,179,15354.88,1962,1962,1962.0
1936,35,68000,18.4,10196.32,1936,1936,1936.0
1963,34,132700,3.1,11858.31,1963,1963,1963.0
1964,33,3000000,2,110351.83,1964,1964,1964.0
1939,32,142000,3.3,17451.95,1939,1939,1939.0
1972,32,93000,10.3,11132.33,1972,1972,1972.0
1973,31,1200000,1.4,51818.33,1973,1973,1973.0
1960,30,330000,5.1,29040.51,1960,1960,1960.0
1933,30,270000,150,21089.77,1933,1933,1933.0
1961,27,283000,6.1,22980.24,1961,1961,1961.0
1956,27,888600,3.8,64513.59,1956,1956,1956.0
1934,27,116300,35,18380.44,1934,1934,1934.0
1966,26,900000,6.4,60791.17,1966,1966,1966.0
1932,25,190000,8,18412.98,1932,1932,1932.0
1955,24,303000,55,23026.09,1955,1955,1955.0
1949,23,200000,180,18144.55,1949,1949,1949.0
1941,23,261000,21,30087.67,1941,1941,1941.0
1931,22,2000000,11,132861.71,1931,1931,1931.0
1954,22,1750000,40.7,105386.34,1954,1954,1954.0
1903,22,1173000,28.9,123448.86,1903,1903,1903.0
1887,21,500000,72,56856.95,1887,1887,1887.0
