"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(7.05, 12.43333)",2,36.1,28,32.05,1952,1952,1952.00
"(56.13333, 77.26667)",1,10800,10800,10800.00,1950,1950,1950.00
"(46.15, 32.83333)",1,1932,1932,1932.00,1876,1876,1876.00
"(35.13333, 44.45)",1,6000,6000,6000.00,1929,1929,1929.00
"(43.11667, 11.6)",1,3700,3700,3700.00,1794,1794,1794.00
"(51.73333, 102.53333)",1,2000,2000,2000.00,1824,1824,1824.00
"(35.4, -92.05)",1,16700,16700,16700.00,1930,1930,1930.00
"(26.59083, -12.95217)",1,4720,4720,4720.00,1990,1990,1990.00
"(45.05, 41.98333)",1,1500,1500,1500.00,1857,1857,1857.00
"(16.39806, -9.57028)",1,1000,1000,1000.00,1974,1974,1974.00
"(48.4, -3.3)",1,5000,5000,5000.00,1874,1874,1874.00
"(31.16333, -7.015)",1,100000,100000,100000.00,2008,2008,2008.00
"(38.3, 27.13333)",1,240,240,240.00,1917,1917,1917.00
"(-3.13333, 33.51667)",1,470,470,470.00,1930,1930,1930.00
"(26.68333, 93.86667)",1,12500,12500,12500.00,2001,2001,2001.00
"(35.25, -80.5)",1,8600,8600,8600.00,1849,1849,1849.00
"(-23.2, -51.83333)",1,1200,1200,1200.00,1977,1977,1977.00
"(-20.0, -45.0)",1,2500,2500,2500.00,1957,1957,1957.00
"(46.55, 6.81667)",1,705,705,705.00,1901,1901,1901.00
"(53.4, 9.1)",1,7250,7250,7250.00,1855,1855,1855.00
"(21.05, -99.3)",1,3400,3400,3400.00,1881,1881,1881.00
"(-25.66667, 28.36667)",1,460,460,460.00,1912,1912,1912.00
"(46.1, 16.33333)",1,49000,49000,49000.00,1751,1751,1751.00
"(57.78333, 55.26667)",1,500000,500000,500000.00,1887,1887,1887.00
"(-36.61667, 145.2)",1,100000,100000,100000.00,1969,1969,1969.00
"(60.4, 25.8)",1,330000,330000,330000.00,1899,1899,1899.00
"(25.0, -103.5)",1,146,146,146.00,1855,1855,1855.00
"(49.23333, 17.56667)",1,412,412,412.00,1934,1934,1934.00
"(33.6, -96.46667)",1,375,375,375.00,1961,1961,1961.00
"(38.25, -83.75)",1,86000,86000,86000.00,1902,1902,1902.00
"(54.21667, -113.0)",1,107000,107000,107000.00,1952,1952,1952.00
"(11.25, 108.58333)",1,500,500,500.00,1887,1887,1887.00
"(-6.23333, -40.7)",1,2000,2000,2000.00,1967,1967,1967.00
"(32.33333, -6.3)",1,1161,1161,1161.00,1932,1932,1932.00
"(11.08333, -0.18333)",1,1557,1557,1557.00,1989,1989,1989.00
"(46.63333, 0.16667)",1,20000,20000,20000.00,1831,1831,1831.00
"(28.2, 76.66667)",1,3332,3332,3332.00,1929,1929,1929.00
"(51.65, 5.61667)",1,710,710,710.00,1840,1840,1840.00
"(38.93333, 48.25)",1,150200,150200,150200.00,1959,1959,1959.00
"(31.61667, 76.8)",1,4500,4500,4500.00,1910,1910,1910.00
"(33.83333, 115.83333)",1,7500,7500,7500.00,1977,1977,1977.00
"(32.31667, -89.71667)",1,NULL,NULL,NULL,1910,1910,1910.00
"(39.43833, 140.51167)",1,866,866,866.00,1993,1993,1993.00
"(40.2, 29.23333)",1,25000,25000,25000.00,1946,1946,1946.00
"(25.36667, 81.66667)",1,0.5,0.5,0.50,1814,1814,1814.00
"(19.76667, -100.65)",1,460,460,460.00,1968,1968,1968.00
"(38.2, -89.68333)",1,74800,74800,74800.00,1927,1927,1927.00
"(43.83333, 20.44167)",1,34000,34000,34000.00,1889,1889,1889.00
"(41.38333, -86.6)",1,3710,3710,3710.00,1959,1959,1959.00
"(34.23333, 72.08333)",1,4500,4500,4500.00,1948,1948,1948.00
"(56.66667, 23.0)",1,5800,5800,5800.00,1890,1890,1890.00
"(-17.35, 13.96667)",1,NULL,NULL,NULL,1966,1966,1966.00
"(50.53333, 14.11667)",1,39,39,39.00,1723,1723,1723.00
"(43.33333, 141.86667)",1,363,363,363.00,1925,1925,1925.00
"(36.44917, 136.46528)",1,420,420,420.00,1995,1995,1995.00
"(34.41667, 3.25)",1,10000,10000,10000.00,1989,1989,1989.00
"(27.33333, -9.33333)",1,175000,175000,175000.00,1998,1998,1998.00
"(49.16667, 19.5)",1,6100,6100,6100.00,1895,1895,1895.00
"(37.05, 138.38333)",1,4460,4460,4460.00,1920,1920,1920.00
"(51.91667, 8.38333)",1,1000,1000,1000.00,1851,1851,1851.00
"(26.25, 82.0)",1,300,300,300.00,1872,1872,1872.00
"(48.53333, 35.98333)",1,40000,40000,40000.00,1826,1826,1826.00
"(20.26667, 76.01667)",1,8800,8800,8800.00,1838,1838,1838.00
"(20.06667, -103.66667)",1,94.2,94.2,94.20,1896,1896,1896.00
"(29.58333, 77.58333)",1,16820,16820,16820.00,2003,2003,2003.00
"(38.16667, -76.38333)",1,24.3,24.3,24.30,1919,1919,1919.00
"(6.75, 8.5)",1,7700,7700,7700.00,1963,1963,1963.00
"(-31.01667, -71.4)",1,282,282,282.00,1956,1956,1956.00
"(53.35, 15.05)",1,7000,7000,7000.00,1715,1715,1715.00
"(41.36667, -6.23333)",1,NULL,NULL,NULL,1843,1843,1843.00
"(28.25, 7.0)",1,NULL,NULL,NULL,1944,1944,1944.00
"(47.93333, 1.56667)",1,27000,27000,27000.00,1810,1810,1810.00
"(38.71667, -7.06667)",1,150000,150000,150000.00,1924,1924,1924.00
"(43.5, -91.16667)",1,1500,1500,1500.00,1865,1865,1865.00
"(39.26333, 31.78)",1,85000,85000,85000.00,1961,1961,1961.00
"(47.13333, 43.9)",1,800,800,800.00,1952,1952,1952.00
"(34.16667, -80.28333)",1,6000,6000,6000.00,1843,1843,1843.00
"(42.8, -4.66667)",1,3500,3500,3500.00,2004,2004,2004.00
"(29.71667, 77.95)",1,1800,1800,1800.00,1838,1838,1838.00
"(-29.8, 141.7)",1,11300,11300,11300.00,1902,1902,1902.00
"(58.88333, 9.4)",1,246,246,246.00,1928,1928,1928.00
"(9.91667, 13.98333)",1,968,968,968.00,1949,1949,1949.00
"(-32.01667, 27.41667)",1,13780,13780,13780.00,1903,1903,1903.00
"(46.8, 24.03333)",1,300000,300000,300000.00,1882,1882,1882.00
"(-26.16667, -49.93333)",1,600,600,600.00,1941,1941,1941.00
"(41.11667, 45.0)",1,3719,3719,3719.00,1906,1906,1906.00
"(34.175, -103.295)",1,71400,71400,71400.00,1998,1998,1998.00
"(-40.975, 145.6)",1,8887.5,8887.5,8887.50,1930,1930,1930.00
"(-25.5, -54.5)",1,7000,7000,7000.00,1972,1972,1972.00
"(49.32694, 7.46472)",1,16500,16500,16500.00,1869,1869,1869.00
"(-32.75, -65.28333)",1,300,300,300.00,1925,1925,1925.00
"(48.13333, 12.61667)",1,1600,1600,1600.00,1803,1803,1803.00
"(35.96667, -82.48333)",1,3700,3700,3700.00,1929,1929,1929.00
"(52.03333, 43.0)",1,2000,2000,2000.00,1882,1882,1882.00
"(57.81667, 16.23333)",1,1456,1456,1456.00,1944,1944,1944.00
"(47.46667, -0.55)",1,NULL,NULL,NULL,1822,1822,1822.00
"(44.11667, 4.08333)",1,6000,6000,6000.00,1806,1806,1806.00
"(-29.03333, -53.05)",1,300000,300000,300000.00,1937,1937,1937.00
"(36.88333, 8.45)",1,380,380,380.00,1875,1875,1875.00
"(24.65, 76.86667)",1,7.7,7.7,7.70,1911,1911,1911.00
"(18.7, 4.8)",1,110000,110000,110000.00,1991,1991,1991.00
"(14.18333, 75.8)",1,1293,1293,1293.00,1902,1902,1902.00
"(-7.23333, 107.33333)",1,1590,1590,1590.00,1939,1939,1939.00
"(51.88333, 6.93333)",1,4682,4682,4682.00,1958,1958,1958.00
"(36.08333, -78.06667)",1,7300,7300,7300.00,1874,1874,1874.00
"(43.95, -0.05)",1,6400,6400,6400.00,1790,1790,1790.00
"(25.48333, 81.98333)",1,71400,71400,71400.00,1920,1920,1920.00
"(-33.35, 146.85833)",1,26000,26000,26000.00,1942,1942,1942.00
"(44.05, 126.16667)",1,4000000,4000000,4000000.00,1976,1976,1976.00
"(61.73333, 5.93333)",1,100.7,100.7,100.70,1898,1898,1898.00
"(-6.23333, 106.88333)",1,24750,24750,24750.00,1915,1915,1915.00
"(38.36667, 140.86556)",1,27.5,27.5,27.50,1984,1984,1984.00
"(10.0, -84.1)",1,1000,1000,1000.00,1857,1857,1857.00
"(45.76667, 3.25)",1,1300,1300,1300.00,1949,1949,1949.00
"(25.68333, 83.25)",1,8510,8510,8510.00,1910,1910,1910.00
"(22.08333, 86.9)",1,2500,2500,2500.00,1905,1905,1905.00
"(25.38333, 82.6)",1,1039,1039,1039.00,1895,1895,1895.00
"(51.2, 112.3)",1,3891,3891,3891.00,1805,1805,1805.00
"(-7.75, 112.76667)",1,10500,10500,10500.00,1975,1975,1975.00
"(20.74575, 32.41275)",1,3950,3950,3950.00,2008,2008,2008.00
"(38.2, 115.7)",1,4910,4910,4910.00,1919,1919,1919.00
"(56.03333, 13.0)",1,3336,3336,3336.00,1939,1939,1939.00
"(-19.48333, 31.65)",1,666.6,666.6,666.60,1990,1990,1990.00
"(-33.15639, 115.67639)",1,488.1,488.1,488.10,1984,1984,1984.00
"(50.66667, 2.33333)",1,NULL,NULL,NULL,1769,1769,1769.00
"(38.70066, -77.21163)",1,329.7,329.7,329.70,2010,2010,2010.00
